item,itemLabel,itemDescription,idTMS,idBddSalons,img,URLbddOrsay,URLbddSalons
http://www.wikidata.org/entity/Q17490780,"Au sermon, souvenir de la Bresse",tableau de Paul de La Boulaye,70039,106151,,https://www.musee-orsay.fr/fr/oeuvres/70039,http://salons.musee-orsay.fr/index/notice/106151
http://www.wikidata.org/entity/Q17190953,Portrait de Mademoiselle L.L.,peinture de James Tissot,979,54949,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Tissot%20-%20Portrait%20de%20Mlle%20L.%20L%20-%20mus%C3%A9e%20d%27Orsay.jpg,https://www.musee-orsay.fr/fr/oeuvres/979,http://salons.musee-orsay.fr/index/notice/54949
http://www.wikidata.org/entity/Q3032268,Divina Tragedia,tableau de Paul Chenavard,78682,191376,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Chenavard%20-%20Divina%20Tragedia%201869.jpg,https://www.musee-orsay.fr/fr/oeuvres/78682,http://salons.musee-orsay.fr/index/notice/191376
http://www.wikidata.org/entity/Q17490614,"À ""La République française""",tableau d'Henri Gervex,20390,16595,,https://www.musee-orsay.fr/fr/oeuvres/20390,http://salons.musee-orsay.fr/index/notice/16595
http://www.wikidata.org/entity/Q17492701,Le Bain,tableau de Paul Leroy,70596,353679,,https://www.musee-orsay.fr/fr/oeuvres/70596,http://salons.musee-orsay.fr/index/notice/353679
http://www.wikidata.org/entity/Q8187529,Un atelier aux Batignolles,tableau de Henri Fantin-Latour,210,196959,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Fantin-Latour%20-%20A%20Studio%20at%20Les%20Batignolles%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/210,http://salons.musee-orsay.fr/index/notice/196959
http://www.wikidata.org/entity/Q17490695,Antibes et Nice. Vue du cap en novembre,tableau d'Émile Charles Dameron,69811,289798,,https://www.musee-orsay.fr/fr/oeuvres/69811,http://salons.musee-orsay.fr/index/notice/289798
http://www.wikidata.org/entity/Q17492858,Le Colisée à Rome,tableau d'Henri Harpignies,392,100520,,https://www.musee-orsay.fr/fr/oeuvres/392,http://salons.musee-orsay.fr/index/notice/100520
http://www.wikidata.org/entity/Q1368055,Des glaneuses,tableau de Jean-François Millet,342,49879,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Fran%C3%A7ois%20Millet%20-%20Gleaners%20-%20Google%20Art%20Project.jpg,https://www.musee-orsay.fr/fr/oeuvres/342,http://salons.musee-orsay.fr/index/notice/49879
http://www.wikidata.org/entity/Q17492962,Le Goûter des cueilleuses d'œillettes,tableau de Désiré François Laugée,85419,178262,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20go%C3%BBter%20des%20cueillettes%20d%E2%80%99oeillettes%201859.jpg,https://www.musee-orsay.fr/fr/oeuvres/85419,http://salons.musee-orsay.fr/index/notice/178262
